cenario,mau,lugares_ativos,pct_logados,pct_usuarios_ia,buscas_por_usuario_ia_mes,roteiros_por_usuario_ia_mes,avaliacoes_ia_por_usuario_mes,usuarios_ia,buscas_mes,roteiros_mes,avaliacoes_ia_mes,custo_busca_unit_brl,custo_ia_brl,custo_whatsapp_brl,custos_fixos_brl,custo_total_brl,parceiros_pagantes,mrr_b2b_brl,assinantes_premium_b2c,mrr_b2c_brl,margem_brl,notas
INPUT_PREMISSAS,100,100,0.4,0.45,12,1.5,0.35,mau*pct_logados*pct_usuarios_ia,usuarios_ia*buscas_por_usuario,usuarios_ia*roteiros_por_usuario,usuarios_ia*avaliacoes_por_usuario,0.15 se lugares=100; 0.44 se 300,buscas*custo_busca + roteiros*0.16 + av*0.02,mau*0.15 [ESTIMATIVA],543,custo_ia + whatsapp + fixos,5,parceiros*199,3,assinantes*9.90,mrr_b2b + mrr_b2c - custo_total,Editar INPUT; ver CUSTOS.md
conservador,10,100,0.35,0.25,4,0.4,0.15,0.9,4,0,0,0.15,0.6,1.5,543,545.1,2,398,1,9.9,-137.2,
conservador,10,300,0.35,0.25,4,0.4,0.15,0.9,4,0,0,0.44,1.76,1.5,543,546.26,2,398,1,9.9,-138.36,
conservador,100,100,0.35,0.25,4,0.4,0.15,8.8,35,4,1,0.15,5.91,15.0,543,563.91,3,597,3,29.7,62.79,
conservador,100,300,0.35,0.25,4,0.4,0.15,8.8,35,4,1,0.44,16.06,15.0,543,574.06,3,597,3,29.7,52.64,
conservador,200,100,0.35,0.25,4,0.4,0.15,17.5,70,7,3,0.15,11.68,30.0,543,584.68,12,2388,6,59.4,1862.72,
conservador,200,300,0.35,0.25,4,0.4,0.15,17.5,70,7,3,0.44,31.98,30.0,543,604.98,12,2388,6,59.4,1842.42,
conservador,500,100,0.35,0.25,4,0.4,0.15,43.8,175,18,7,0.15,29.27,75.0,543,647.27,25,4975,15,148.5,4476.23,
conservador,500,300,0.35,0.25,4,0.4,0.15,43.8,175,18,7,0.44,80.02,75.0,543,698.02,25,4975,15,148.5,4425.48,
medio,10,100,0.4,0.45,12,1.5,0.35,1.8,22,3,1,0.15,3.8,1.5,543,548.3,2,398,1,9.9,-140.4,
medio,10,300,0.4,0.45,12,1.5,0.35,1.8,22,3,1,0.44,10.18,1.5,543,554.68,2,398,1,9.9,-146.78,
medio,100,100,0.4,0.45,12,1.5,0.35,18.0,216,27,6,0.15,36.84,15.0,543,594.84,5,995,3,29.7,429.86,
medio,100,300,0.4,0.45,12,1.5,0.35,18.0,216,27,6,0.44,99.48,15.0,543,657.48,5,995,3,29.7,367.22,
medio,200,100,0.4,0.45,12,1.5,0.35,36.0,432,54,13,0.15,73.7,30.0,543,646.7,12,2388,6,59.4,1800.7,
medio,200,300,0.4,0.45,12,1.5,0.35,36.0,432,54,13,0.44,198.98,30.0,543,771.98,12,2388,6,59.4,1675.42,
medio,500,100,0.4,0.45,12,1.5,0.35,90.0,1080,135,31,0.15,184.22,75.0,543,802.22,25,4975,15,148.5,4321.28,
medio,500,300,0.4,0.45,12,1.5,0.35,90.0,1080,135,31,0.44,497.42,75.0,543,1115.42,25,4975,15,148.5,4008.08,
alta_temporada,10,100,0.45,0.6,28,5,0.6,2.7,76,14,2,0.15,13.68,1.5,543,558.18,2,398,1,9.9,-150.28,
alta_temporada,10,300,0.45,0.6,28,5,0.6,2.7,76,14,2,0.44,35.72,1.5,543,580.22,2,398,1,9.9,-172.32,
alta_temporada,100,100,0.45,0.6,28,5,0.6,27.0,756,135,16,0.15,135.32,15.0,543,693.32,9,1791,3,29.7,1127.38,
alta_temporada,100,300,0.45,0.6,28,5,0.6,27.0,756,135,16,0.44,354.56,15.0,543,912.56,9,1791,3,29.7,908.14,
alta_temporada,200,100,0.45,0.6,28,5,0.6,54.0,1512,270,32,0.15,270.64,30.0,543,843.64,12,2388,6,59.4,1603.76,
alta_temporada,200,300,0.45,0.6,28,5,0.6,54.0,1512,270,32,0.44,709.12,30.0,543,1282.12,12,2388,6,59.4,1165.28,
alta_temporada,500,100,0.45,0.6,28,5,0.6,135.0,3780,675,81,0.15,676.62,75.0,543,1294.62,25,4975,15,148.5,3828.88,
alta_temporada,500,300,0.45,0.6,28,5,0.6,135.0,3780,675,81,0.44,1772.82,75.0,543,2390.82,25,4975,15,148.5,2732.68,
teto_teorico,10,100,0.5,1.0,90,60,1.0,5.0,450,300,5,0.15,115.6,1.5,543,660.1,2,398,1,9.9,-252.2,
teto_teorico,10,300,0.5,1.0,90,60,1.0,5.0,450,300,5,0.44,246.1,1.5,543,790.6,2,398,1,9.9,-382.7,
teto_teorico,100,100,0.5,1.0,90,60,1.0,50.0,4500,3000,50,0.15,1156.0,15.0,543,1714.0,3,597,3,29.7,-1087.3,
teto_teorico,100,300,0.5,1.0,90,60,1.0,50.0,4500,3000,50,0.44,2461.0,15.0,543,3019.0,3,597,3,29.7,-2392.3,
teto_teorico,200,100,0.5,1.0,90,60,1.0,100.0,9000,6000,100,0.15,2312.0,30.0,543,2885.0,12,2388,6,59.4,-437.6,
teto_teorico,200,300,0.5,1.0,90,60,1.0,100.0,9000,6000,100,0.44,4922.0,30.0,543,5495.0,12,2388,6,59.4,-3047.6,
teto_teorico,500,100,0.5,1.0,90,60,1.0,250.0,22500,15000,250,0.15,5780.0,75.0,543,6398.0,25,4975,15,148.5,-1274.5,
teto_teorico,500,300,0.5,1.0,90,60,1.0,250.0,22500,15000,250,0.44,12305.0,75.0,543,12923.0,25,4975,15,148.5,-7799.5,
v2_multitier_exemplo,300,300,0.4,0.45,12,1.5,0.35,54,648,81,19,0.44,298.46,45,543,886.46,18,2736,15,148.5,1998.04,V2 mix tiers; ticket médio ~R$152; não no código
lancamento_referencia,100,100,0.4,0.45,12,1.5,0.35,18.0,216,27,6,0.15,36.84,15.0,543,594.84,5,995,3,29.7,429.86,Resumo CUSTOS.md §10
mes6_referencia,400,300,0.4,0.45,12,1.5,0.35,72.0,864,108,25,0.44,397.94,60.0,543,1000.94,18,3582,20,198.0,2779.06,Resumo CUSTOS.md §10
